,crs_dep_time,crs_arr_time,crs_elapsed_time,flights,distance,year,month,day,dep_time_of_day,arr_time_of_day,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier,orig_weather_categ_no weather data,orig_weather_categ_rain,orig_weather_categ_snow,orig_weather_categ_snow & rain,orig_weather_categ_sunny,dest_weather_categ_no weather data,dest_weather_categ_rain,dest_weather_categ_snow,dest_weather_categ_snow & rain,dest_weather_categ_sunny,orig_region_East-South Central,orig_region_Mid-Atlantic,orig_region_New England,orig_region_North-West,orig_region_Offshore Territory,orig_region_Pacific,orig_region_South-Atlantic,orig_region_South-West,orig_region_West-North Central,orig_region_West-South Central,dest_region_East-South Central,dest_region_Mid-Atlantic,dest_region_New England,dest_region_North-West,dest_region_Offshore Territory,dest_region_Pacific,dest_region_South-Atlantic,dest_region_South-West,dest_region_West-North Central,dest_region_West-South Central
51,2006,2249,163.0,1.0,957.0,2018,10,30,3,1,11.366071428571429,6.5423728813559325,16.312883435582823,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,1933,2145,132.0,1.0,712.0,2019,6,6,3,1,2.8823529411764706,-0.040169133192389,3.8531746031746033,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,1335,1730,175.0,1.0,1183.0,2019,2,1,2,3,7.386666666666667,5.653846153846154,3.8531746031746033,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
54,1301,1608,127.0,1.0,640.0,2019,6,24,2,2,-6.0,0.8445945945945946,5.078223270440252,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
55,1240,1409,89.0,1.0,195.0,2018,1,28,2,2,12.153846153846153,5.653846153846154,3.8531746031746033,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,1855,2150,355.0,1.0,2350.0,2019,10,5,3,1,3.246987951807229,-0.1623931623931624,0.2486865148861646,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,1420,1604,164.0,1.0,989.0,2018,10,1,2,2,7.569148936170213,-2.1129943502824857,3.8531746031746033,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
58,2023,2206,103.0,1.0,481.0,2019,8,24,3,1,2.3117647058823527,15.789473684210526,3.8531746031746033,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
59,1140,1230,110.0,1.0,628.0,2018,10,17,0,2,3.342857142857143,3.2777777777777777,0.2486865148861646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
60,1822,2034,132.0,1.0,588.0,2019,8,4,3,3,13.46875,5.9855072463768115,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1900,2038,158.0,1.0,964.0,2018,8,6,3,3,10.992424242424242,2.3125,8.24934929724102,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
62,1700,2120,140.0,1.0,879.0,2019,8,1,3,1,3.3743589743589744,5.920634920634921,3.9402271368798565,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
63,725,850,85.0,1.0,395.0,2019,2,22,0,0,4.889952153110048,2.76,8.24934929724102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
64,1530,1820,350.0,1.0,2454.0,2018,9,29,2,3,12.975961538461538,12.547231270358306,8.24934929724102,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,1648,1939,111.0,1.0,618.0,2018,12,27,2,3,2.1818181818181817,-2.1129943502824857,3.8531746031746033,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
