fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,orig_weather_categ,dest_weather_categ
2019-07-24,DL,DL,DL,540,DL,N351DN,540,10397,ATL,"Atlanta, GA",14679,SAN,"San Diego, CA",1913,1912.0,-1.0,10.0,1922.0,2013.0,3.0,2041,2016.0,-25.0,0.0,,0.0,N,268.0,244.0,231.0,1.0,1892.0,,,,,,,,,,cloudy,sunny
2018-12-22,UA,UA_CODESHARE,UA,5201,OO,N976SW,5201,14771,SFO,"San Francisco, CA",13476,MRY,"Monterey, CA",1303,1258.0,-5.0,16.0,1314.0,1340.0,4.0,1357,1344.0,-13.0,0.0,,0.0,N,54.0,46.0,26.0,1.0,77.0,,,,,,,,,,cloudy,cloudy
2018-11-02,WN,WN,WN,756,WN,N741SA,756,10821,BWI,"Baltimore, MD",14730,SDF,"Louisville, KY",1630,1630.0,0.0,17.0,1647.0,1817.0,3.0,1810,1820.0,10.0,0.0,,0.0,N,100.0,110.0,90.0,1.0,495.0,,,,,,,,,,rain,cloudy
2018-02-16,AA,AA_CODESHARE,AA,5269,OH,N209PS,5269,12244,HVN,"New Haven, CT",14100,PHL,"Philadelphia, PA",1750,1739.0,-11.0,7.0,1746.0,1839.0,5.0,1857,1844.0,-13.0,0.0,,0.0,N,67.0,65.0,53.0,1.0,157.0,,,,,,,,,,rain,rain
2018-06-19,AS,AS_CODESHARE,AS,2644,QX,N633QX,2644,13796,OAK,"Oakland, CA",14057,PDX,"Portland, OR",1415,1413.0,-2.0,7.0,1420.0,1535.0,5.0,1603,1540.0,-23.0,0.0,,0.0,N,108.0,87.0,75.0,1.0,543.0,,,,,,,,,,cloudy,sunny
2019-02-10,UA,UA_CODESHARE,UA,4285,EV,N11548,4285,14685,SAV,"Savannah, GA",13930,ORD,"Chicago, IL",1715,1914.0,119.0,13.0,1927.0,2043.0,35.0,1848,2118.0,150.0,0.0,,0.0,N,153.0,184.0,136.0,1.0,773.0,0.0,0.0,150.0,0.0,0.0,,,,,cloudy,snow
2019-05-03,AA,AA,AA,1520,AA,N753US,1520,12266,IAH,"Houston, TX",12892,LAX,"Los Angeles, CA",2026,2113.0,47.0,18.0,2131.0,2243.0,7.0,2155,2250.0,55.0,0.0,,0.0,N,209.0,217.0,192.0,1.0,1379.0,0.0,0.0,8.0,0.0,47.0,,,,,rain,sunny
2018-07-07,UA,UA_CODESHARE,UA,3793,ZW,N456ZW,3793,13930,ORD,"Chicago, IL",12197,HPN,"White Plains, NY",1805,1801.0,-4.0,25.0,1826.0,2115.0,5.0,2122,2120.0,-2.0,0.0,,0.0,N,137.0,139.0,109.0,1.0,738.0,,,,,,,,,,sunny,sunny
2018-09-19,DL,DL_CODESHARE,DL,6173,G7,N642CA,6173,11278,DCA,"Washington, DC",11193,CVG,"Cincinnati, OH",1536,1526.0,-10.0,22.0,1548.0,1651.0,8.0,1720,1659.0,-21.0,0.0,,0.0,N,104.0,93.0,63.0,1.0,411.0,,,,,,,,,,sunny,sunny
2018-05-04,DL,DL,DL,873,DL,N953DL,873,13485,MSN,"Madison, WI",10397,ATL,"Atlanta, GA",1710,1711.0,1.0,9.0,1720.0,2004.0,4.0,2016,2008.0,-8.0,0.0,,0.0,N,126.0,117.0,104.0,1.0,707.0,,,,,,,,,,rain,sunny
