,arr_delay
2271,-26.0
1583,-16.0
1412,-10.0
4111,-14.0
7652,-22.0
6693,-18.0
1722,-43.0
2024,-12.0
2212,-13.0
1507,103.0
2622,5.0
5290,0.0
9128,-13.0
1321,7.0
842,-17.0
1146,10.0
3624,-5.0
4280,-14.0
9010,-32.0
8986,-13.0
4681,-7.0
463,11.0
1754,-17.0
3936,-11.0
7933,-17.0
9460,-9.0
4401,101.0
4700,11.0
8991,4.0
378,-16.0
3106,7.0
8215,-13.0
1335,2.0
1223,1.0
3848,74.0
2716,132.0
6837,-6.0
2952,-10.0
1350,20.0
1082,-18.0
6453,-19.0
1811,10.0
4121,6.0
1351,-16.0
7817,-17.0
8796,244.0
1894,-19.0
6639,-7.0
565,-18.0
3903,-11.0
7100,-30.0
3673,85.0
4366,-4.0
7545,-13.0
1212,-5.0
1189,-14.0
3955,-15.0
898,95.0
4786,2.0
8092,-8.0
4602,7.0
8896,244.0
3454,1.0
3609,-2.0
8157,18.0
8765,-12.0
9677,15.0
7572,-15.0
3909,-9.0
4028,-13.0
3931,-20.0
2332,-15.0
7302,-17.0
2262,3.0
9260,-13.0
5781,31.0
2595,-3.0
7200,49.0
3593,-16.0
5216,2.0
1030,-12.0
7433,7.0
7877,-13.0
8823,-9.0
8236,80.0
5733,-4.0
5378,-28.0
7762,-21.0
1755,-8.0
7355,-27.0
4161,-23.0
231,-28.0
8104,-4.0
110,-12.0
5457,-4.0
6708,-13.0
2514,-12.0
5961,-13.0
4279,8.0
4720,1.0
2917,24.0
9390,-17.0
2992,-20.0
2317,-5.0
4847,-11.0
4292,-15.0
6991,-23.0
1515,0.0
216,31.0
9213,-2.0
9061,11.0
8417,-9.0
2263,30.0
5326,-12.0
6840,-7.0
8498,-4.0
6010,191.0
893,1.0
1490,0.0
3003,-12.0
1850,-2.0
5199,-6.0
6380,-7.0
324,24.0
1215,-16.0
2899,-12.0
2933,10.0
3658,-8.0
8678,3.0
6673,2.0
7972,3.0
8586,6.0
6169,48.0
9724,-7.0
1129,-6.0
8856,-16.0
2918,14.0
3902,-7.0
7947,-25.0
9097,-38.0
3827,-20.0
4923,-24.0
208,6.0
3254,-20.0
2795,69.0
5106,-15.0
9011,-6.0
798,-26.0
9105,-14.0
734,0.0
2244,-8.0
178,-23.0
5830,-9.0
7008,-16.0
1174,102.0
6642,-43.0
5848,-8.0
1831,-5.0
7995,150.0
9279,-23.0
7897,0.0
8597,-27.0
8522,0.0
198,-13.0
7928,-10.0
7076,2.0
9284,122.0
1097,-17.0
548,-3.0
6908,-11.0
8229,-15.0
4706,143.0
6912,-20.0
3369,195.0
7583,3.0
2532,-13.0
4055,8.0
2314,2.0
6653,-14.0
6885,-25.0
5937,-14.0
2815,-2.0
3437,-10.0
3880,-22.0
4157,151.0
66,-6.0
7866,-14.0
616,20.0
1118,17.0
3260,-43.0
3401,2.0
3692,76.0
937,-15.0
6604,35.0
