crs_dep_time,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,dep_time_of_day,arr_time_of_day,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier,year,month,day,orig_weather_categ_empty,orig_weather_categ_no weather data,orig_weather_categ_rain,orig_weather_categ_snow,orig_weather_categ_snow & rain,orig_weather_categ_sunny,dest_weather_categ_empty,dest_weather_categ_no weather data,dest_weather_categ_rain,dest_weather_categ_snow,dest_weather_categ_snow & rain,dest_weather_categ_sunny
1855,1846.0,12.0,1858.0,2106.0,34.0,2150,2140.0,0.0,0.0,355.0,354.0,308.0,1.0,2350.0,2,2,3.347826086956522,-0.1623931623931624,0.2513274336283186,2019,10,5,0,0,0,0,0,0,0,0,0,0,0,1
1420,1414.0,22.0,1436.0,1554.0,8.0,1604,1602.0,0.0,0.0,164.0,168.0,138.0,1.0,989.0,1,1,7.691891891891892,-2.1129943502824857,3.8926503340757237,2018,10,1,0,0,1,0,0,0,0,0,0,0,0,1
2023,2019.0,23.0,2042.0,2147.0,6.0,2206,2153.0,0.0,0.0,103.0,94.0,65.0,1.0,481.0,2,2,2.3300395256916997,15.789473684210526,3.8926503340757237,2019,8,24,0,0,1,0,0,0,0,0,1,0,0,0
1140,1131.0,12.0,1143.0,1222.0,3.0,1230,1225.0,0.0,0.0,110.0,114.0,99.0,1.0,628.0,0,1,3.342857142857143,3.3306451612903225,0.2513274336283186,2018,10,17,0,0,0,0,0,0,0,0,0,0,0,1
1822,1847.0,29.0,1916.0,2041.0,5.0,2034,2046.0,0.0,0.0,132.0,119.0,85.0,1.0,588.0,2,3,13.978378378378379,6.257575757575758,5.238848337388483,2019,8,4,0,0,0,0,0,1,0,0,0,0,0,1
1900,1856.0,15.0,1911.0,2023.0,2.0,2038,2025.0,0.0,0.0,158.0,149.0,132.0,1.0,964.0,2,3,11.076335877862595,2.3125,8.433741351782864,2018,8,6,0,0,1,0,0,0,0,0,0,0,0,1
1700,1702.0,8.0,1710.0,2112.0,17.0,2120,2129.0,0.0,0.0,140.0,147.0,122.0,1.0,879.0,2,2,3.445026178010471,6.114754098360656,4.019512195121951,2019,8,1,0,0,0,0,0,1,0,0,0,0,0,1
725,725.0,25.0,750.0,845.0,7.0,850,852.0,0.0,0.0,85.0,87.0,55.0,1.0,395.0,0,0,5.0594059405940595,2.76,8.433741351782864,2019,2,22,0,0,1,0,0,0,0,0,0,0,0,0
1530,1527.0,18.0,1545.0,1755.0,6.0,1820,1801.0,0.0,0.0,350.0,334.0,310.0,1.0,2454.0,1,3,13.230392156862745,12.79734219269103,8.433741351782864,2018,9,29,0,0,0,0,0,1,0,0,0,0,0,1
1648,1707.0,12.0,1719.0,1956.0,5.0,1939,2001.0,0.0,0.0,111.0,114.0,97.0,1.0,618.0,1,3,2.4,-2.1129943502824857,3.8926503340757237,2018,12,27,0,0,1,0,0,0,0,0,0,1,0,0
2055,2113.0,8.0,2121.0,2217.0,3.0,2210,2220.0,0.0,0.0,75.0,67.0,56.0,1.0,342.0,2,2,6.291666666666667,4.414634146341464,4.019512195121951,2019,9,20,0,0,1,0,0,0,0,0,1,0,0,0
1455,1446.0,11.0,1457.0,1557.0,5.0,1620,1602.0,0.0,0.0,85.0,76.0,60.0,1.0,342.0,1,1,2.0987654320987654,5.229166666666667,0.2513274336283186,2019,4,3,0,0,0,0,0,0,0,0,0,0,0,0
1220,1229.0,30.0,1259.0,1341.0,10.0,1338,1351.0,0.0,0.0,78.0,82.0,42.0,1.0,224.0,1,1,5.0594059405940595,6.182608695652174,5.238848337388483,2019,4,14,0,0,0,0,0,1,0,0,0,0,0,1
1150,1303.0,16.0,1319.0,1358.0,3.0,1240,1401.0,0.0,0.0,50.0,58.0,39.0,1.0,213.0,0,1,81.0,81.0,0.2513274336283186,2019,5,3,0,0,1,0,0,0,0,0,1,0,0,0
1800,1754.0,13.0,1807.0,1838.0,5.0,1850,1843.0,0.0,0.0,50.0,49.0,31.0,1.0,93.0,2,3,3.3803418803418803,-3.888888888888889,0.2513274336283186,2019,10,4,0,0,1,0,0,0,0,0,1,0,0,0
1940,1933.0,23.0,1956.0,2135.0,5.0,2210,2140.0,0.0,0.0,150.0,127.0,99.0,1.0,585.0,2,2,9.065217391304348,24.59016393442623,3.8926503340757237,2018,2,19,0,0,0,0,0,0,0,0,1,0,0,0
