fl_date,city,count,weather_categ
2019-01-18,"Atlanta, GA",3,cloudy
2018-10-29,"Dallas/Fort Worth, TX",3,sunny
2019-03-11,"Atlanta, GA",3,rain
2018-07-19,"New York, NY",3,sunny
2019-05-16,"Minneapolis, MN",3,rain
2019-08-15,"Chicago, IL",3,sunny
2019-08-02,"Newark, NJ",3,cloudy
2018-02-27,"Dallas/Fort Worth, TX",3,rain
2019-11-29,"New York, NY",3,sunny
2018-02-27,"Las Vegas, NV",3,cloudy
2019-03-15,"Washington, DC",3,rain
2019-05-16,"Charlotte, NC",3,sunny
2019-12-04,"San Antonio, TX",3,sunny
2018-07-14,"Atlanta, GA",3,rain
2019-01-17,"Denver, CO",3,sunny
2019-05-29,"Phoenix, AZ",3,sunny
2018-07-20,"Atlanta, GA",3,cloudy
2018-07-20,"Los Angeles, CA",3,sunny
2019-08-16,"Nashville, TN",3,sunny
2018-06-28,"Dallas/Fort Worth, TX",3,sunny
2019-11-18,"Chicago, IL",3,cloudy
2018-07-29,"Detroit, MI",3,sunny
2019-12-04,"Philadelphia, PA",3,rain
2019-03-09,"Dallas/Fort Worth, TX",3,rain
2018-07-19,"Denver, CO",3,sunny
2019-05-19,"New Orleans, LA",3,rain
2019-03-08,"Charlotte, NC",3,rain
2018-07-28,"Atlanta, GA",3,sunny
2018-10-26,"Miami, FL",3,sunny
2018-07-06,"Detroit, MI",3,sunny
2019-08-11,"Seattle, WA",3,rain
2018-10-13,"Philadelphia, PA",3,rain
2018-10-26,"San Francisco, CA",3,sunny
2018-02-23,"Phoenix, AZ",3,sunny
2019-07-26,"Chicago, IL",3,sunny
2019-03-08,"Minneapolis, MN",3,sunny
2019-11-20,"Houston, TX",3,cloudy
2018-10-27,"Chicago, IL",3,cloudy
2018-10-27,"Dallas/Fort Worth, TX",3,sunny
2018-02-08,"Dallas/Fort Worth, TX",3,sunny
2019-08-12,"San Francisco, CA",3,sunny
2019-11-21,"Chicago, IL",3,rain
2019-03-15,"New York, NY",3,rain
2018-02-24,"San Francisco, CA",3,sunny
2019-01-18,"Phoenix, AZ",3,sunny
2018-02-08,"Atlanta, GA",3,sunny
2019-12-04,"Los Angeles, CA",3,rain
2018-10-26,"Dallas/Fort Worth, TX",3,sunny
2019-07-25,"Washington, DC",3,sunny
2018-06-17,"New York, NY",3,sunny
2018-04-06,"Chicago, IL",3,cloudy
2019-10-23,"Tampa, FL",3,sunny
2018-12-03,"Denver, CO",3,snow
2019-10-23,"New York, NY",3,rain
2018-12-27,"Atlanta, GA",3,rain
2018-05-11,"Chicago, IL",3,rain
2018-04-05,"Atlanta, GA",3,sunny
2019-09-26,"Chicago, IL",3,sunny
2019-09-26,"Dallas/Fort Worth, TX",3,sunny
2019-10-23,"Charlotte, NC",3,sunny
2019-10-23,"Atlanta, GA",3,sunny
2018-12-04,"Boston, MA",3,sunny
2018-05-10,"Atlanta, GA",3,sunny
2018-05-09,"Los Angeles, CA",3,sunny
2018-05-08,"Seattle, WA",3,rain
2018-04-06,"Fort Lauderdale, FL",3,sunny
2018-04-03,"New York, NY",3,rain
2018-04-06,"Houston, TX",3,rain
2019-10-21,"Chicago, IL",3,rain
2018-04-06,"Orlando, FL",3,sunny
2018-05-07,"New York, NY",3,sunny
2019-10-20,"Washington, DC",3,rain
2019-09-28,"Chicago, IL",3,rain
2019-09-28,"Dallas/Fort Worth, TX",3,sunny
2018-04-07,"Los Angeles, CA",3,cloudy
2018-05-06,"Houston, TX",3,sunny
